import time: self [us] | cumulative | imported package
import time:      2960 |       4871 |                 ctypes
import time:      2693 |      15846 |               numpy._core._internal
import time:       643 |        643 |               numpy._pytesttester
import time:      4647 |     148470 |             numpy._core
import time:        96 |     148566 |           numpy._core._multiarray_umath
import time:      1083 |     149648 |         numpy.__config__
import time:       275 |        275 |             numpy.lib._array_utils_impl
import time:       613 |        887 |           numpy.lib.array_utils
import time:       286 |        286 |           numpy.lib.introspect
import time:       801 |        801 |           numpy.lib.mixins
import time:       278 |        278 |                     _wmi
import time:      1534 |       1811 |                   platform
import time:       831 |       2642 |                 numpy.lib._utils_impl
import time:       773 |       3414 |               numpy.lib.format
import time:      1726 |       1726 |               numpy.lib._datasource
import time:      1299 |       1299 |               numpy.lib._iotools
import time:      2191 |       8629 |             numpy.lib._npyio_impl
import time:       411 |       9040 |           numpy.lib.npyio
import time:       365 |        365 |                 numpy.lib._ufunclike_impl
import time:      1137 |       1502 |               numpy.lib._type_check_impl
import time:       729 |       2230 |             numpy.lib._scimath_impl
import time:       530 |       2760 |           numpy.lib.scimath
import time:       772 |        772 |             numpy.lib._stride_tricks_impl
import time:       415 |       1186 |           numpy.lib.stride_tricks
import time:       371 |        371 |                   numpy.linalg.linalg
import time:      1456 |       1456 |                     numpy.lib._twodim_base_impl
import time:       818 |        818 |                     numpy.linalg._umath_linalg
import time:       559 |        559 |                       __future__
import time:       807 |        807 |                       numpy._typing._nested_sequence
import time:       917 |        917 |                       numpy._typing._nbit_base
import time:       327 |        327 |                       numpy._typing._nbit
import time:      5053 |       5053 |                       numpy._typing._char_codes
import time:       452 |        452 |                       numpy._typing._scalars
import time:       334 |        334 |                       numpy._typing._shape
import time:      9035 |       9035 |                       numpy._typing._dtype_like
import time:      6372 |       6372 |                       numpy._typing._array_like
import time:       389 |        389 |                       numpy._typing._ufunc
import time:      2425 |      26666 |                     numpy._typing
import time:      5235 |      34175 |                   numpy.linalg._linalg
import time:       664 |      35209 |                 numpy.linalg
import time:       829 |      36038 |               numpy.matrixlib.defmatrix
import time:       415 |      36452 |             numpy.matrixlib
import time:       824 |        824 |               numpy.lib._histograms_impl
import time:      3279 |       4102 |             numpy.lib._function_base_impl
import time:      1423 |      41977 |           numpy.lib._index_tricks_impl
import time:      1504 |       1504 |           numpy.lib._nanfunctions_impl
import time:      1015 |       1015 |           numpy.lib._shape_base_impl
import time:      2057 |       2057 |           numpy.lib._arraysetops_impl
import time:      1432 |       1432 |           numpy.lib._polynomial_impl
import time:       580 |        580 |           numpy.lib._arrayterator_impl
import time:      2444 |       2444 |           numpy.lib._arraypad_impl
import time:       577 |        577 |           numpy.lib._version
import time:      2709 |      69248 |         numpy.lib
import time:       558 |        558 |         numpy._array_api_info
import time:      6286 |     228999 |       numpy
import time:      1086 |     239510 |     src.embeddings.encoder
import time:      1525 |       1525 |         _hashlib
import time:       507 |        507 |         _blake2
import time:       832 |       2864 |       hashlib
import time:      1113 |       3976 |     src.embeddings.openvino_encoder
import time:       715 |        715 |           transformers.dependency_versions_table
import time:       406 |        406 |                 importlib
import time:      1138 |       1544 |               huggingface_hub
import time:       458 |        458 |                     _opcode
import time:      1424 |       1882 |                   opcode
import time:      2162 |       4044 |                 dis
import time:       171 |        171 |                 importlib.machinery
import time:      6042 |      10256 |               inspect
import time:       457 |        457 |                 concurrent
import time:      1311 |       1311 |                 concurrent.futures._base
import time:       890 |       2657 |               concurrent.futures
import time:       396 |        396 |                     _heapq
import time:       530 |        925 |                   heapq
import time:       486 |        486 |                   _queue
import time:       755 |       2166 |                 queue
import time:       983 |       3149 |               concurrent.futures.thread
