import time: self [us] | cumulative | imported package
import time:      2248 |       2248 |                               torch.nn.common_types
import time:      2511 |       4759 |                             torch.nn.modules.conv
import time:       529 |        529 |                             torch.nn.modules.distance
import time:       634 |        634 |                             torch.nn.modules.dropout
import time:       524 |        524 |                             torch.nn.modules.flatten
import time:       564 |        564 |                             torch.nn.modules.fold
import time:      1659 |       1659 |                             torch.nn.modules.instancenorm
import time:      2450 |       2450 |                             torch.nn.modules.loss
import time:       974 |        974 |                             torch.nn.modules.normalization
import time:      1443 |       1443 |                             torch.nn.modules.padding
import time:       529 |        529 |                             torch.nn.modules.pixelshuffle
import time:      2264 |       2264 |                             torch.nn.modules.pooling
import time:       242 |        242 |                                       torch.__future__
import time:       988 |       1230 |                                     torch.nn.utils.parametrize
import time:      2245 |       3474 |                                   torch.nn.utils.parametrizations
import time:      1608 |       1608 |                                   torch.nn.utils.rnn
import time:       980 |        980 |                                     torch.nn.utils._named_member_accessor
import time:       893 |       1873 |                                   torch.nn.utils.stateless
import time:       464 |        464 |                                     torch.utils._foreach_utils
import time:      2040 |       2503 |                                   torch.nn.utils.clip_grad
import time:      1087 |       1087 |                                   torch.nn.utils.convert_parameters
import time:      1041 |       1041 |                                   torch.nn.utils.fusion
import time:       520 |        520 |                                   torch.nn.utils.init
import time:       577 |        577 |                                   torch.nn.utils.memory_format
import time:      1209 |       1209 |                                   torch.nn.utils.spectral_norm
import time:       788 |        788 |                                   torch.nn.utils.weight_norm
import time:      2134 |      16808 |                                 torch.nn.utils
import time:        79 |      16887 |                               torch.nn.utils.rnn
import time:      6318 |      23204 |                             torch.nn.modules.rnn
import time:      1555 |       1555 |                             torch.nn.modules.sparse
import time:      1535 |       1535 |                             torch.nn.modules.transformer
import time:       999 |        999 |                             torch.nn.modules.upsampling
import time:      3625 |     472005 |                           torch.nn.modules
import time:       931 |        931 |                                 torch.backends.cpu
import time:      4313 |       4313 |                                 torch.backends.cuda
import time:      1202 |       1202 |                                 torch.backends.cudnn
import time:       599 |        599 |                                 torch.backends.cusparselt
import time:       496 |        496 |                                 torch.backends.kleidiai
import time:       740 |        740 |                                 torch.backends.mha
import time:       717 |        717 |                                 torch.backends.miopen
import time:       646 |        646 |                                 torch.backends.mkl
import time:       951 |        951 |                                 torch.backends.mkldnn
import time:      2795 |       2795 |                                   torch.library
import time:      1153 |       3947 |                                 torch.backends.mps
import time:       705 |        705 |                                 torch.backends.nnpack
import time:       501 |        501 |                                 torch.backends.openmp
import time:       480 |        480 |                                         opt_einsum.parser
import time:       517 |        997 |                                       opt_einsum.helpers
import time:       561 |       1558 |                                     opt_einsum.blas
import time:      1151 |       1151 |                                     opt_einsum.paths
import time:       958 |        958 |                                     opt_einsum.path_random
import time:      1896 |       1896 |                                         _decimal
import time:       440 |       2335 |                                       decimal
import time:       370 |        370 |                                           opt_einsum.sharing
import time:       636 |       1006 |                                         opt_einsum.backends.cupy
import time:       308 |        308 |                                           opt_einsum.backends.object_arrays
import time:       349 |        349 |                                           opt_einsum.backends.jax
import time:       297 |        297 |                                           opt_einsum.backends.tensorflow
import time:       242 |        242 |                                           opt_einsum.backends.theano
import time:       302 |        302 |                                           opt_einsum.backends.torch
import time:      1288 |       2783 |                                         opt_einsum.backends.dispatch
import time:       408 |       4196 |                                       opt_einsum.backends
import time:      1293 |       7823 |                                     opt_einsum.contract
import time:       310 |        310 |                                     opt_einsum._version
import time:      1097 |      12895 |                                   opt_einsum
import time:       778 |      13673 |                                 torch.backends.opt_einsum
import time:       841 |        841 |                                 torch.backends.quantized
import time:      2918 |      33173 |                               torch.backends
import time:        76 |      33248 |                             torch.backends.cuda
import time:       705 |        705 |                             torch.nn.attention._registry
import time:      1861 |       1861 |                             torch.nn.attention._fa4
import time:      1004 |      36817 |                           torch.nn.attention
import time:       350 |        350 |                               torch.nn.parallel.parallel_apply
import time:       660 |        660 |                                   torch.cuda.nccl
import time:       992 |       1652 |                                 torch.nn.parallel.comm
import time:      1350 |       3002 |                               torch.nn.parallel.replicate
import time:      1159 |       1159 |                                 torch.nn.parallel._functions
import time:       629 |       1787 |                               torch.nn.parallel.scatter_gather
import time:      1074 |       6212 |                             torch.nn.parallel.data_parallel
import time:      1534 |       1534 |                                   torch.distributed.algorithms.join
import time:       502 |       2035 |                                 torch.distributed.algorithms
import time:       292 |       2326 |                               torch.distributed.algorithms.join
import time:      1218 |       1218 |                               torch.distributed.utils
import time:      5216 |       8759 |                             torch.nn.parallel.distributed
import time:       749 |      15719 |                           torch.nn.parallel
import time:       888 |     526396 |                         torch.nn
import time:       161 |     526556 |                       torch.nn.functional
import time:       561 |        561 |                         torch._linalg_utils
import time:       587 |       1147 |                       torch._lowrank
import time:      5847 |     533550 |                     torch.functional
import time:       467 |        467 |                     torch.__config__
import time:       293 |        293 |                       torch.accelerator._utils
import time:       365 |        365 |                       torch.accelerator.memory
import time:       807 |       1463 |                     torch.accelerator
import time:       423 |        423 |                         torch.cpu.amp.autocast_mode
import time:       362 |        362 |                         torch.cpu.amp.grad_scaler
import time:       685 |       1469 |                       torch.cpu.amp
import time:       732 |       2200 |                     torch.cpu
import time:      1922 |       1922 |                         torch.distributions.constraints
import time:      1096 |       1096 |                           torch.distributions.utils
import time:      1050 |       2146 |                         torch.distributions.distribution
import time:      3232 |       7299 |                       torch.distributions.transforms
import time:       316 |        316 |                         torch.distributions.exp_family
import time:      1011 |       1326 |                       torch.distributions.bernoulli
import time:       711 |        711 |                         torch.distributions.dirichlet
import time:       790 |       1501 |                       torch.distributions.beta
import time:       792 |        792 |                       torch.distributions.binomial
import time:       632 |        632 |                       torch.distributions.categorical
import time:       503 |        503 |                       torch.distributions.cauchy
import time:       790 |        790 |                         torch.distributions.gamma
import time:       589 |       1378 |                       torch.distributions.chi2
import time:       747 |        747 |                       torch.distributions.constraint_registry
import time:       644 |        644 |                       torch.distributions.continuous_bernoulli
import time:       772 |        772 |                       torch.distributions.exponential
import time:       620 |        620 |                       torch.distributions.fishersnedecor
import time:       577 |        577 |                       torch.distributions.generalized_pareto
import time:       707 |        707 |                       torch.distributions.geometric
import time:       538 |        538 |                           torch.distributions.independent
import time:       713 |       1250 |                         torch.distributions.transformed_distribution
import time:       682 |        682 |                         torch.distributions.uniform
import time:       837 |       2769 |                       torch.distributions.gumbel
import time:       434 |        434 |                       torch.distributions.half_cauchy
import time:       441 |        441 |                         torch.distributions.normal
import time:       496 |        937 |                       torch.distributions.half_normal
import time:       528 |        528 |                       torch.distributions.inverse_gamma
import time:       534 |        534 |                         torch.distributions.laplace
import time:       599 |        599 |                           torch.distributions.multivariate_normal
import time:       643 |       1242 |                         torch.distributions.lowrank_multivariate_normal
import time:       612 |        612 |                         torch.distributions.one_hot_categorical
import time:       661 |        661 |                         torch.distributions.pareto
import time:       812 |        812 |                         torch.distributions.poisson
import time:      2084 |       5943 |                       torch.distributions.kl
import time:      2236 |       2236 |                       torch.distributions.kumaraswamy
import time:       639 |        639 |                       torch.distributions.lkj_cholesky
import time:       442 |        442 |                       torch.distributions.log_normal
import time:       742 |        742 |                       torch.distributions.logistic_normal
import time:       796 |        796 |                       torch.distributions.mixture_same_family
import time:       584 |        584 |                       torch.distributions.multinomial
import time:       506 |        506 |                       torch.distributions.negative_binomial
import time:       894 |        894 |                       torch.distributions.relaxed_bernoulli
import time:       713 |        713 |                       torch.distributions.relaxed_categorical
import time:       691 |        691 |                       torch.distributions.studentT
import time:       814 |        814 |                             torch.jit._builtins
import time:      3531 |       4345 |                           torch.jit._async
import time:       493 |        493 |                           torch.jit._await
import time:       281 |        281 |                           torch.jit._decomposition_utils
import time:       496 |        496 |                               torch._classes
import time:       541 |        541 |                               torch.jit._fuser
import time:       791 |        791 |                                 monkeytype
import time:      1356 |       2146 |                               torch.jit._monkeytype_config
import time:       830 |        830 |                                 torch.jit._check
import time:      1584 |       1584 |                                 torch.jit._state
import time:      1094 |       1094 |                                   torch.jit.annotations
import time:       735 |        735 |                                   torch.jit._dataclass_impls
import time:      6887 |       8715 |                                 torch.jit.frontend
import time:      2584 |      13712 |                               torch.jit._recursive
import time:       490 |        490 |                               torch.jit._serialization
import time:      3767 |      21150 |                             torch.jit._script
import time:       542 |      21691 |                           torch.jit._freeze
import time:       655 |        655 |                           torch.jit._ir_utils
import time:      2837 |       2837 |                           torch.jit._trace
import time:      1354 |      31652 |                         torch.jit
import time:       723 |      32374 |                       torch.distributions.von_mises
import time:       520 |        520 |                       torch.distributions.weibull
import time:       664 |        664 |                       torch.distributions.wishart
import time:      3946 |      73840 |                     torch.distributions
import time:       714 |        714 |                     torch.fft
import time:      1386 |       1386 |                     torch.hub
import time:       677 |        677 |                     torch.linalg
import time:       492 |        492 |                       torch.mps.profiler
import time:       318 |        318 |                       torch.mps.event
import time:       734 |       1542 |                     torch.mps
import time:       302 |        302 |                       torch.mtia._utils
import time:       306 |        306 |                       torch.mtia.memory
import time:       396 |        396 |                       torch.mtia.mtia_graph
import time:      1395 |       2398 |                     torch.mtia
import time:       872 |        872 |                         multiprocessing.util
import time:       468 |        468 |                         multiprocessing.resource_sharer
import time:      1000 |       2339 |                       torch.multiprocessing.reductions
import time:       496 |        496 |                           _multiprocessing
import time:       199 |        199 |                           _winapi
import time:      1528 |       2222 |                         multiprocessing.connection
import time:       766 |       2988 |                       torch.multiprocessing.spawn
import time:       318 |        318 |                           runpy
import time:       789 |       1106 |                         multiprocessing.spawn
import time:       693 |        693 |                         _posixshmem
import time:       833 |       2632 |                       multiprocessing.resource_tracker
import time:       799 |       8757 |                     torch.multiprocessing
import time:       313 |        313 |                         torch.nested._internal
import time:       426 |        426 |                                   torch.fx._compatibility
import time:      1151 |       1577 |                                 torch.fx.immutable_collections
import time:       298 |        298 |                                       torch.fx.experimental
import time:       981 |        981 |                                               unittest.util
import time:       965 |       1945 |                                             unittest.result
import time:      2078 |       2078 |                                             unittest.case
import time:      2695 |       2695 |                                             unittest.suite
import time:      2379 |       2379 |                                             unittest.loader
import time:       479 |        479 |                                                 unittest.signals
import time:       942 |       1420 |                                               unittest.runner
import time:      1071 |       2491 |                                             unittest.main
import time:      1259 |      12845 |                                           unittest
import time:      1261 |       1261 |                                             pkgutil
import time:      5561 |       6822 |                                           unittest.mock
import time:      5547 |      25213 |                                         torch.utils._config_module
import time:      2538 |      27751 |                                       torch.fx.experimental._config
import time:       425 |        425 |                                         torch.utils._dtype_abbrs
import time:      1805 |       1805 |                                           torch.return_types
import time:      1387 |       3191 |                                         torch.fx._pytree
import time:      2560 |       2560 |                                           torch.fx.operator_schemas
import time:     19534 |      22093 |                                         torch.fx.node
import time:     11458 |      37165 |                                       torch.fx.graph
import time:      2422 |      67634 |                                     torch.fx.graph_module
import time:      1093 |      68727 |                                   torch.fx._lazy_graph_module
import time:      2361 |       2361 |                                     torch.fx.traceback
import time:       558 |        558 |                                           torch._logging.structured
import time:       629 |        629 |                                             torch.utils._ordered_set
import time:       495 |        495 |                                             torch.utils._traceback
import time:       844 |        844 |                                             torch.utils.weak
import time:     19602 |      21568 |                                           torch._guards
import time:      6972 |      29097 |                                         torch._logging._internal
import time:       625 |      29721 |                                       torch._logging._registrations
import time:       443 |      30163 |                                     torch._logging
import time:      3564 |      36087 |                                   torch.fx.proxy
import time:      4345 |     109158 |                                 torch.fx._symbolic_trace
import time:       601 |        601 |                                   torch.fx.config
import time:      3223 |       3823 |                                 torch.fx.interpreter
import time:      3445 |       3445 |                                 torch.fx.subgraph_rewriter
import time:       990 |     118990 |                               torch.fx
import time:        78 |     119068 |                             torch.fx.experimental
import time:       582 |     119650 |                           torch.fx.experimental._constant_symnode
import time:       942 |     120592 |                         torch.nested._internal.nested_int
import time:      2252 |     123156 |                       torch.nested._internal.nested_tensor
import time:       848 |     124003 |                     torch.nested
import time:      1502 |       1502 |                         torch.optim.optimizer
import time:      3264 |       4765 |                       torch.optim.lr_scheduler
import time:      3431 |       3431 |                       torch.optim.swa_utils
import time:      1299 |       1299 |                       torch.optim._adafactor
import time:       978 |        978 |                       torch.optim._muon
import time:       819 |        819 |                       torch.optim.adadelta
import time:       786 |        786 |                       torch.optim.adagrad
import time:      1490 |       1490 |                       torch.optim.adam
import time:      1284 |       1284 |                       torch.optim.adamax
import time:       836 |        836 |                       torch.optim.adamw
import time:      1241 |       1241 |                       torch.optim.asgd
import time:      1048 |       1048 |                       torch.optim.lbfgs
import time:      1495 |       1495 |                       torch.optim.nadam
import time:      1055 |       1055 |                       torch.optim.radam
import time:       857 |        857 |                       torch.optim.rmsprop
import time:       976 |        976 |                       torch.optim.rprop
import time:       651 |        651 |                       torch.optim.sgd
import time:       346 |        346 |                         torch.optim._functional
import time:       846 |       1192 |                       torch.optim.sparse_adam
import time:      3181 |      27376 |                     torch.optim
import time:       182 |        182 |                       torch._environment
import time:      1256 |       1256 |                         gzip
import time:      6085 |       6085 |                           torch.profiler._utils
import time:     10915 |      17000 |                         torch.profiler._memory_profiler
import time:      3067 |      21322 |                       torch.profiler.profiler
import time:       438 |        438 |                       torch.profiler.itt
import time:      1011 |      22952 |                     torch.profiler
import time:      1162 |       1162 |                     torch.special
import time:      1103 |       1103 |                       torch.xpu._utils
import time:       970 |        970 |                       torch.xpu.streams
import time:      1732 |       1732 |                       torch.xpu.memory
import time:      1467 |       1467 |                       torch.xpu.random
import time:      5015 |      10285 |                     torch.xpu
import time:      1258 |       1258 |                         torch.signal.windows.windows
import time:       793 |       2051 |                       torch.signal.windows
import time:       648 |       2699 |                     torch.signal
import time:       507 |        507 |                     torch.ao
import time:       555 |        555 |                         torch.ao.nn
import time:      1395 |       1395 |                           torch.ao.nn.intrinsic.modules.fused
import time:       705 |       2100 |                         torch.ao.nn.intrinsic.modules
import time:       991 |       3645 |                       torch.ao.nn.intrinsic
import time:       346 |        346 |                         torch.nn.intrinsic.modules.fused
import time:       808 |       1153 |                       torch.nn.intrinsic.modules
import time:      1618 |       1618 |                                       torch.ao.nn.qat.modules.conv
import time:       769 |        769 |                                       torch.ao.nn.qat.modules.embedding_ops
import time:       619 |        619 |                                       torch.ao.nn.qat.modules.linear
import time:      1009 |       4014 |                                     torch.ao.nn.qat.modules
import time:      1137 |       5151 |                                   torch.ao.nn.qat
import time:      4582 |       9732 |                                 torch.ao.nn.intrinsic.qat.modules.conv_fused
import time:      1218 |       1218 |                                 torch.ao.nn.intrinsic.qat.modules.linear_fused
import time:       730 |        730 |                                 torch.ao.nn.intrinsic.qat.modules.linear_relu
import time:       834 |      12513 |                               torch.ao.nn.intrinsic.qat.modules
import time:       241 |      12753 |                             torch.ao.nn.intrinsic.qat
import time:       278 |      13031 |                           torch.nn.intrinsic.qat.modules.conv_fused
import time:       312 |        312 |                           torch.nn.intrinsic.qat.modules.linear_fused
import time:       306 |        306 |                           torch.nn.intrinsic.qat.modules.linear_relu
import time:       591 |      14239 |                         torch.nn.intrinsic.qat.modules
import time:       304 |      14543 |                       torch.nn.intrinsic.qat
import time:       716 |        716 |                                                   torch.ao.nn.quantizable.modules.activation
import time:       873 |        873 |                                                   torch.ao.nn.quantizable.modules.rnn
import time:       524 |       2111 |                                                 torch.ao.nn.quantizable.modules
import time:       214 |       2325 |                                               torch.ao.nn.quantizable
import time:      1410 |       1410 |                                               torch.ao.nn.quantized.modules.activation
import time:       658 |        658 |                                               torch.ao.nn.quantized.modules.batchnorm
import time:       459 |        459 |                                                 torch.ao.nn.quantized.modules.utils
import time:      2123 |       2582 |                                               torch.ao.nn.quantized.modules.conv
import time:       466 |        466 |                                               torch.ao.nn.quantized.modules.dropout
import time:       892 |        892 |                                               torch.ao.nn.quantized.modules.embedding_ops
import time:       897 |        897 |                                               torch.ao.nn.quantized.modules.functional_modules
import time:      1070 |       1070 |                                               torch.ao.nn.quantized.modules.linear
import time:      1032 |       1032 |                                               torch.ao.nn.quantized.modules.normalization
import time:       429 |        429 |                                               torch.ao.nn.quantized.modules.rnn
import time:      1744 |      13502 |                                             torch.ao.nn.quantized.modules
import time:       171 |      13673 |                                           torch.ao.nn.quantized.modules.utils
import time:       766 |      14439 |                                         torch.ao.nn.quantized.functional
import time:       664 |      15103 |                                       torch.ao.nn.quantized
import time:       780 |      15882 |                                     torch.ao.nn.intrinsic.quantized.modules.bn_relu
import time:       762 |        762 |                                     torch.ao.nn.intrinsic.quantized.modules.conv_add
import time:       752 |        752 |                                     torch.ao.nn.intrinsic.quantized.modules.conv_relu
import time:       793 |        793 |                                     torch.ao.nn.intrinsic.quantized.modules.linear_relu
import time:       930 |      19117 |                                   torch.ao.nn.intrinsic.quantized.modules
import time:       460 |      19577 |                                 torch.ao.nn.intrinsic.quantized
import time:      1312 |       1312 |                                         torch.ao.nn.quantized.dynamic.modules.conv
import time:      1072 |       1072 |                                         torch.ao.nn.quantized.dynamic.modules.linear
import time:      2559 |       2559 |                                         torch.ao.nn.quantized.dynamic.modules.rnn
import time:       767 |       5709 |                                       torch.ao.nn.quantized.dynamic.modules
import time:       535 |       6244 |                                     torch.ao.nn.quantized.dynamic
import time:       658 |       6902 |                                   torch.ao.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       767 |       7669 |                                 torch.ao.nn.intrinsic.quantized.dynamic.modules
import time:       612 |      27857 |                               torch.ao.nn.intrinsic.quantized.dynamic
import time:       438 |      28295 |                             torch.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       527 |      28821 |                           torch.nn.intrinsic.quantized.dynamic.modules
import time:       428 |      29248 |                         torch.nn.intrinsic.quantized.dynamic
import time:       543 |        543 |                           torch.nn.intrinsic.quantized.modules.bn_relu
import time:       671 |        671 |                           torch.nn.intrinsic.quantized.modules.conv_relu
import time:       348 |        348 |                           torch.nn.intrinsic.quantized.modules.linear_relu
import time:       788 |       2348 |                         torch.nn.intrinsic.quantized.modules
import time:       442 |      32037 |                       torch.nn.intrinsic.quantized
import time:       760 |      52136 |                     torch.nn.intrinsic
import time:       743 |        743 |                                     torch.ao.nn.qat.dynamic.modules.linear
import time:       746 |       1489 |                                   torch.ao.nn.qat.dynamic.modules
import time:       351 |       1840 |                                 torch.ao.nn.qat.dynamic
import time:      2048 |       3887 |                               torch.ao.nn.qat.dynamic.modules
import time:        49 |       3935 |                             torch.ao.nn.qat.dynamic.modules.linear
import time:       239 |       4174 |                           torch.nn.qat.dynamic.modules.linear
import time:       276 |       4450 |                         torch.nn.qat.dynamic.modules
import time:       491 |       4940 |                       torch.nn.qat.dynamic
import time:       258 |        258 |                         torch.nn.qat.modules.conv
import time:       202 |        202 |                         torch.nn.qat.modules.embedding_ops
import time:       192 |        192 |                         torch.nn.qat.modules.linear
import time:       733 |       1383 |                       torch.nn.qat.modules
import time:       386 |       6708 |                     torch.nn.qat
import time:       270 |        270 |                       torch.nn.quantizable.modules
import time:       373 |        642 |                     torch.nn.quantizable
import time:       288 |        288 |                       torch.nn.quantized.dynamic
import time:       198 |        198 |                       torch.nn.quantized.functional
import time:       402 |        402 |                       torch.nn.quantized.modules
import time:       647 |       1533 |                     torch.nn.quantized
import time:       262 |        262 |                     torch._size_docs
import time:       227 |        227 |                     torch._storage_docs
import time:      2516 |       2516 |                     torch._tensor_docs
import time:      1142 |       1142 |                                   torch.ao.quantization.quant_type
import time:      1340 |       2481 |                                 torch.ao.quantization.utils
import time:     10141 |      12621 |                               torch.ao.quantization.observer
import time:      1512 |      14133 |                             torch.ao.quantization.fake_quantize
import time:       504 |        504 |                               torch.ao.quantization.fuser_method_mappings
import time:       630 |       1133 |                             torch.ao.quantization.fuse_modules
import time:       248 |        248 |                               torch.ao.quantization.pt2e
import time:       401 |        401 |                                   torch.ao.ns
import time:       478 |        879 |                                 torch.ao.ns.fx
import time:      1573 |       1573 |                                 torch.ao.ns.fx.ns_types
import time:      1289 |       3740 |                               torch.ao.ns.fx.utils
import time:       191 |        191 |                                               torch._dispatch
import time:      1100 |       1290 |                                             torch._dispatch.python
import time:      4766 |       4766 |                                                   torch._library.fake_profile
import time:       317 |        317 |                                                     torch.utils._mode_utils
import time:     17475 |      17791 |                                                   torch._subclasses.meta_utils
import time:       474 |        474 |                                                   torch.utils._stats
import time:      4079 |       4079 |                                                     torch.fx.experimental.sym_node
import time:      8073 |      12151 |                                                   torch._subclasses._fake_tensor_utils
import time:       317 |        317 |                                                     torch._custom_op
import time:     12481 |      12798 |                                                   torch._subclasses.fake_impls
import time:     22571 |      70549 |                                                 torch._subclasses.fake_tensor
import time:      1246 |       1246 |                                                 torch._subclasses.fake_utils
import time:       780 |      72575 |                                               torch._subclasses
import time:       229 |      72803 |                                             torch._subclasses.meta_utils
import time:      1533 |      75626 |                                           torch.fx.passes.shape_prop
import time:       496 |        496 |                                                   pyparsing.warnings
import time:      1613 |       1613 |                                                   pyparsing.util
import time:      1270 |       1270 |                                                     pyparsing.unicode
import time:      4704 |       5973 |                                                   pyparsing.exceptions
import time:       925 |        925 |                                                     pyparsing.results
import time:      1211 |       2136 |                                                   pyparsing.actions
import time:     25349 |      25349 |                                                   pyparsing.core
import time:      3010 |       3010 |                                                         html.entities
import time:      1031 |       4040 |                                                       html
import time:       154 |       4194 |                                                     html.entities
import time:      7902 |      12096 |                                                   pyparsing.helpers
import time:       945 |        945 |                                                   pyparsing.testing
import time:     11068 |      11068 |                                                   pyparsing.common
import time:      2724 |      62395 |                                                 pyparsing
import time:       857 |      63252 |                                               pydot.dot_parser
import time:       365 |        365 |                                               pydot._vendor
import time:      1499 |       1499 |                                               pydot._vendor.tempfile
import time:      4494 |      69608 |                                             pydot.core
import time:       512 |        512 |                                             pydot.exceptions
import time:       880 |      70998 |                                           pydot
import time:      1061 |     147684 |                                         torch.fx.passes.graph_drawer
import time:      1234 |       1234 |                                         torch.fx.passes.graph_manipulation
import time:      2468 |       2468 |                                                 torch.fx.passes.utils.matcher_utils
import time:       682 |       3149 |                                               torch.fx.passes.utils.common
import time:       345 |       3493 |                                             torch.fx.passes.utils
import time:      2596 |       2596 |                                             torch.fx.passes.tools_common
import time:      2892 |       8980 |                                           torch.fx.passes.split_utils
import time:      2999 |      11979 |                                         torch.fx.passes.net_min_base
import time:      1253 |       1253 |                                         torch.fx.passes.operator_support
import time:       517 |        517 |                                         torch.fx.passes.param_fetch
import time:      1071 |       1071 |                                         torch.fx.passes.regional_inductor
import time:      2236 |       2236 |                                         torch.fx.passes.reinplace
import time:       404 |        404 |                                           torch.fx._utils
import time:       965 |        965 |                                             torch.utils._thunk
import time:       565 |        565 |                                             torch.fx.experimental._backward_state
import time:      7659 |       9187 |                                           torch.fx.experimental.proxy_tensor
import time:      1477 |      11068 |                                         torch.fx.passes.runtime_assert
import time:      1237 |       1237 |                                         torch.fx.passes.split_module
import time:      4116 |       4116 |                                         torch.fx.passes.splitter_base
import time:      2450 |     184839 |                                       torch.fx.passes
import time:      1396 |       1396 |                                         torch.fx.passes.infra.pass_base
import time:      1914 |       3310 |                                       torch.fx.passes.infra.pass_manager
import time:       618 |     188765 |                                     torch.fx.passes.infra
import time:       128 |     188893 |                                   torch.fx.passes.infra.pass_base
import time:      4251 |       4251 |                                   torch.export.custom_ops
import time:       290 |        290 |                                         torch.export._tree_utils
import time:     12754 |      12754 |                                         torch.export.graph_signature
import time:       513 |        513 |                                               torch._custom_op.autograd
import time:      2678 |       3191 |                                             torch._custom_op.impl
import time:       468 |       3659 |                                           torch._custom_ops
import time:      3214 |       3214 |                                             torch._subclasses.functional_tensor
import time:      2532 |       5745 |                                           torch._export.utils
import time:      3389 |       3389 |                                                       torch._higher_order_ops.schema
import time:     63036 |      66425 |                                                     torch._higher_order_ops.utils
import time:      8584 |      75008 |                                                   torch._higher_order_ops.auto_functionalize
import time:      1092 |      76100 |                                                 torch._higher_order_ops.base_hop
import time:      3612 |      79712 |                                               torch._higher_order_ops._invoke_quant
import time:      1083 |       1083 |                                               torch._higher_order_ops.aoti_call_delegate
import time:      1498 |       1498 |                                               torch._higher_order_ops.associative_scan
import time:      1725 |       1725 |                                               torch._higher_order_ops.cond
import time:       597 |        597 |                                                 torch._higher_order_ops.print
import time:       347 |        347 |                                                     torch._functorch._aot_autograd
import time:     79522 |      79522 |                                                     torch._functorch._aot_autograd.descriptors
import time:      2757 |      82625 |                                                   torch._functorch._aot_autograd.utils
import time:      1384 |      84009 |                                                 torch._higher_order_ops.torchbind
import time:      2034 |      86639 |                                               torch._higher_order_ops.effects
import time:      1116 |       1116 |                                               torch._higher_order_ops.executorch_call_delegate
import time:      3698 |       3698 |                                               torch._higher_order_ops.flat_apply
import time:       432 |        432 |                                                     torch.testing._internal
import time:      2107 |       2538 |                                                   torch.testing._internal.logging_tensor
import time:      4006 |       6544 |                                                 torch.utils.checkpoint
import time:      2902 |       9446 |                                               torch._higher_order_ops.flex_attention
import time:      1981 |       1981 |                                               torch._higher_order_ops.foreach_map
import time:      1035 |       1035 |                                               torch._higher_order_ops.hints_wrap
import time:      4228 |       4228 |                                               torch._higher_order_ops.invoke_subgraph
import time:      2573 |       2573 |                                               torch._higher_order_ops.local_map
import time:      1574 |       1574 |                                               torch._higher_order_ops.map
import time:      5552 |       5552 |                                               torch._higher_order_ops.out_dtype
import time:      1352 |       1352 |                                               torch._higher_order_ops.run_const_graph
import time:      1150 |       1150 |                                                 torch._higher_order_ops.partitioner
import time:      4518 |       5667 |                                               torch._higher_order_ops.scan
import time:      4161 |       4161 |                                               torch._higher_order_ops.strict_mode
import time:      3645 |       3645 |                                               torch._higher_order_ops.while_loop
import time:    153121 |     153121 |                                                 torch.utils._debug_mode
